JobID,JobName,Start,End,Elapsed,ReqMem,MaxRSS,ReqCPUS,NCPUS,CPUTime,CPUTimeRAW,Partition,ExitCode,State
4258404,abyss-short_BS01_360_046-X_IL10x,2025-12-16T21:48:29,2025-12-16T21:51:49,00:03:20,100G,,10,10,00:33:20,2000,general,0:0,COMPLETED
4258404.batch,batch,2025-12-16T21:48:29,2025-12-16T21:51:49,00:03:20,,10822292K,10,10,00:33:20,2000,,0:0,COMPLETED
4258405,abyss-short_BS01_360_046-X_IL15x,2025-12-16T21:48:29,2025-12-16T21:52:52,00:04:23,100G,,10,10,00:43:50,2630,general,0:0,COMPLETED
4258405.batch,batch,2025-12-16T21:48:29,2025-12-16T21:52:52,00:04:23,,12569280K,10,10,00:43:50,2630,,0:0,COMPLETED
4258406,abyss-short_BS01_360_046-X_IL20x,2025-12-16T21:48:59,2025-12-16T21:54:18,00:05:19,100G,,10,10,00:53:10,3190,general,0:0,COMPLETED
4258406.batch,batch,2025-12-16T21:48:59,2025-12-16T21:54:18,00:05:19,,15689704K,10,10,00:53:10,3190,,0:0,COMPLETED
4258407,abyss-short_BS01_360_046-X_IL25x,2025-12-16T21:48:59,2025-12-16T21:55:09,00:06:10,100G,,10,10,01:01:40,3700,general,0:0,COMPLETED
4258407.batch,batch,2025-12-16T21:48:59,2025-12-16T21:55:09,00:06:10,,14228472K,10,10,01:01:40,3700,,0:0,COMPLETED
4258408,abyss-short_BS01_360_046-X_IL30x,2025-12-16T21:49:59,2025-12-16T21:56:56,00:06:57,100G,,10,10,01:09:30,4170,general,0:0,COMPLETED
4258408.batch,batch,2025-12-16T21:49:59,2025-12-16T21:56:56,00:06:57,,15759084K,10,10,01:09:30,4170,,0:0,COMPLETED
4258409,abyss-short_BS01_360_046-X_IL35x,2025-12-16T21:49:59,2025-12-16T21:57:57,00:07:58,100G,,10,10,01:19:40,4780,general,0:0,COMPLETED
4258409.batch,batch,2025-12-16T21:49:59,2025-12-16T21:57:57,00:07:58,,17249604K,10,10,01:19:40,4780,,0:0,COMPLETED
4258410,abyss-short_BS01_360_046-X_IL40x,2025-12-16T21:50:59,2025-12-16T22:00:12,00:09:13,100G,,10,10,01:32:10,5530,general,0:0,COMPLETED
4258410.batch,batch,2025-12-16T21:50:59,2025-12-16T22:00:12,00:09:13,,21097428K,10,10,01:32:10,5530,,0:0,COMPLETED
4258411,abyss-short_BS01_360_046-X_IL50x,2025-12-16T21:50:59,2025-12-16T22:02:07,00:11:08,100G,,10,10,01:51:20,6680,general,0:0,COMPLETED
4258411.batch,batch,2025-12-16T21:50:59,2025-12-16T22:02:07,00:11:08,,19861084K,10,10,01:51:20,6680,,0:0,COMPLETED
4258412,abyss-short_BS01_360_046-X_IL60x,2025-12-16T21:51:29,2025-12-16T22:04:35,00:13:06,100G,,10,10,02:11:00,7860,general,0:0,COMPLETED
4258412.batch,batch,2025-12-16T21:51:29,2025-12-16T22:04:35,00:13:06,,25165324K,10,10,02:11:00,7860,,0:0,COMPLETED
4258413,abyss-short_BS01_360_046-X_IL75x,2025-12-16T21:52:00,2025-12-16T22:08:10,00:16:10,100G,,10,10,02:41:40,9700,general,0:0,COMPLETED
4258413.batch,batch,2025-12-16T21:52:00,2025-12-16T22:08:10,00:16:10,,28352704K,10,10,02:41:40,9700,,0:0,COMPLETED
4258414,abyss-short_BS01_360_046-X_IL100x,2025-12-16T21:53:00,2025-12-16T22:14:29,00:21:29,100G,,10,10,03:34:50,12890,general,0:0,COMPLETED
4258414.batch,batch,2025-12-16T21:53:00,2025-12-16T22:14:29,00:21:29,,34078436K,10,10,03:34:50,12890,,0:0,COMPLETED
4258424,abyss-short_BS02_120_076-2_IL75x,2025-12-16T21:56:31,2025-12-16T22:19:26,00:22:55,100G,,10,10,03:49:10,13750,general,0:0,COMPLETED
4258424.batch,batch,2025-12-16T21:56:31,2025-12-16T22:19:26,00:22:55,,30719432K,10,10,03:49:10,13750,,0:0,COMPLETED
4258425,abyss-short_BS02_120_076-2_IL100x,2025-12-16T21:57:02,2025-12-16T22:27:08,00:30:06,100G,,10,10,05:01:00,18060,general,0:0,COMPLETED
4258425.batch,batch,2025-12-16T21:57:02,2025-12-16T22:27:08,00:30:06,,41850400K,10,10,05:01:00,18060,,0:0,COMPLETED
4258426,abyss-short_BS02_240_133-2_IL10x,2025-12-16T21:57:51,2025-12-16T22:01:46,00:03:55,100G,,10,10,00:39:10,2350,jrw0107_std,0:0,COMPLETED
4258426.batch,batch,2025-12-16T21:57:51,2025-12-16T22:01:46,00:03:55,,13209424K,10,10,00:39:10,2350,,0:0,COMPLETED
4258427,abyss-short_BS02_240_133-2_IL15x,2025-12-16T21:58:03,2025-12-16T22:02:59,00:04:56,100G,,10,10,00:49:20,2960,general,0:0,COMPLETED
4258427.batch,batch,2025-12-16T21:58:03,2025-12-16T22:02:59,00:04:56,,12381472K,10,10,00:49:20,2960,,0:0,COMPLETED
4258428,abyss-short_BS02_240_133-2_IL20x,2025-12-16T21:58:03,2025-12-16T22:04:04,00:06:01,100G,,10,10,01:00:10,3610,general,0:0,COMPLETED
4258428.batch,batch,2025-12-16T21:58:03,2025-12-16T22:04:04,00:06:01,,13757960K,10,10,01:00:10,3610,,0:0,COMPLETED
4258429,abyss-short_BS02_240_133-2_IL25x,2025-12-16T21:58:34,2025-12-16T22:05:48,00:07:14,100G,,10,10,01:12:20,4340,general,0:0,COMPLETED
4258429.batch,batch,2025-12-16T21:58:34,2025-12-16T22:05:48,00:07:14,,14911168K,10,10,01:12:20,4340,,0:0,COMPLETED
