sample	technology	min_bp	max_bp	mean_bp	min_fit	max_fit	mean_fit	min_error_rate	max_error_rate	mean_error_rate	total_bases	mean_length	depth
BS05_240_248-5	illumina	30795245	30850551	30822898	97.3662	97.4152	97.39070000000000	0.678237	0.678237	0.678237	4510150106	127	146.32466116586400
BS05_360_328-3	chopper	34767703	34790697	34779200	98.2408	99.4383	98.83955	0.673524	0.673524	0.673524	1145625220	2828.1176743589000	32.93995319041270
BS05_360_328-3	np	34896226	34916912	34906569	97.8135	98.9513	98.3824	0.76645	0.76645	0.76645	1908857444	864.3203050748760	54.68476274480030
BS05_360_328-3	illumina	32602368	32659979	32631173.5	97.2849	97.4009	97.34290000000000	0.78632	0.78632	0.78632	3632577133	127	111.32229531984200
BS05_CNT_273-5	chopper	48384314	51253399	49818856.5	95.4018	98.5153	96.95855	0.747495	0.747495	0.747495	1306923816	2005.2686495485200	26.23351694152190
BS05_CNT_273-5	np	48724592	48796192	48760392	97.0056	98.7044	97.855	0.82122	0.82122	0.82122	3666884160	592.3680105999580	75.2021058403304
BS05_CNT_273-5	illumina	42174885	42301497	42238191	97.5183	97.5183	97.5183	0.861963	0.861963	0.861963	7999039850	127	189.37931906222000
BS06_120_434-1	chopper	54051319	54697733	54374526	81.4577	82.2907	81.8742	0.528378	0.528378	0.528378	2346627735	3871.8949142586500	43.15674834572350
BS06_120_434-1	np	57785447	59164042	58474744.5	80.1701	81.1203	80.6452	0.574751	0.574751	0.574751	2772765265	1726.2588281364800	47.41816811187610
BS06_120_434-1	illumina	46471156	46699457	46585306.5	96.4099	96.4755	96.4427	0.685423	0.685423	0.685423	4994175224	126	107.20494506137900
BS06_120_435-5	chopper	24668851	24739351	24704101	97.9945	98.2117	98.1031	0.811402	0.811402	0.811402	905200843	4435.671759615430	36.64172369599690
BS06_120_435-5	np	24804108	24862578	24833343	97.2528	97.6053	97.42905000000000	0.95467900000000000	0.95467900000000000	0.95467900000000000	1185507120	1409.0048836493400	47.738523162185600
BS06_120_435-5	illumina	23236097	23351313	23293705	96.93	96.93	96.93	0.675017	0.675017	0.675017	6512031713	127	279.56186931190200
BS06_240_394-4	chopper	28203765	28212754	28208259.5	99.1226	99.6409	99.38175000000000	1.03997	1.03997	1.03997	1463175226	1977.2317557012600	51.87045397111440
BS06_240_394-4	np	28002595	28027589	28015092	98.2741	98.2741	98.2741	0.975126	0.975126	0.975126	5049727315	610.0489690400950	180.25024922281200
BS06_240_394-4	illumina	27027817	27070773	27049295	97.6535	97.6535	97.6535	0.686308	0.686308	0.686308	4786705135	127	176.9622881113910
BS06_360_361-6	chopper	29917	33771	31844	64.5832	81.7954	73.1893	8.05093	8.05093	8.05093	29609888	12594.59293917480	929.8419796507980
BS06_360_361-6	np	52575	58818	55696.5	67.0383	84.1938	75.61605	7.8939	7.8939	7.8939	46870374	408.53118217713000	841.5317659098870
BS06_360_361-6	illumina	33482812	33576560	33529686	95.8505	96.3873	96.1189	0.695223	0.695223	0.695223	4713817388	127	140.5863862846790
