sample	technology	min_bp	max_bp	mean_bp	min_fit	max_fit	mean_fit	min_error_rate	max_error_rate	mean_error_rate	total_bases	mean_length	depth
BS01_120_013-2	chopperk13p1	17654725	NA	NA	83.092	63.5724	73.3322	0	0	0	680435728	2564.2951874882233	NA
BS01_120_013-2	chopperk13	16848440	17854184	17351312	89.0027	97.0183	93.01050000000001	0.504224	0.504224	0.504224	680435728	2564.2951874882233	39.21523213921806
BS01_120_013-2	chopperk101	373624	388597	381110.5	79.9293	85.0489	82.48910000000001	3.28234	3.28234	3.28234	680435728	2564.2951874882233	1785.4027322784336
BS01_120_013-2	chopper	5546772	5853708	5700240	47.5241	52.8898	50.20695	5.73586	5.73586	5.73586	680435728	2564.2951874882233	119.369663031732
BS01_120_013-2	np	36496424	36901029	36698726.5	91.889	98.7233	95.30615	1.80245	1.80245	1.80245	1532716604	625.8645424443611	41.76484445584236
BS01_120_013-2	illumina	48297364	48516587	48406975.5	96.4771	96.4771	96.4771	0.645712	0.645712	0.645712	9631772304	127	198.97488336159321
BS01_360_046-X	chopperk57p1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BS01_360_046-X	chopperk21p1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BS01_360_046-X	chopperk13p1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BS01_360_046-X	chopperk13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BS01_360_046-X	chopperk101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BS01_360_046-X	chopper	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BS01_360_046-X	np	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BS01_360_046-X	illumina	25835073	25945800	25890436.5	95.5829	95.8125	95.6977	0.887507	0.887507	0.887507	3735791748	127	144.2923431592202
BS02_120_076-2	chopperk57p1	38070844	39784910	38927877	89.9139	99.0238	94.46885	1.02199	1.02199	1.02199	1029934941	2039.745750426294	26.457516319217717
